id,from_id,date,text,post_id,owner_id,parents_stack,likes.can_like,likes.count,likes.user_likes,likes.can_publish,thread.count,thread.items,thread.can_post,thread.show_reply_button,attachments,deleted,thread.groups_can_post,reply_to_user,reply_to_comment,text_for_sentiment,sentiment_analysis_value,sentiment_analysis_score
11805918,448774202,1677679224,видео,11805916.0,-59780149.0,[],1.0,1.0,0.0,1.0,2.0,"[{'id': 11806025, 'from_id': 695636723, 'date': 1677680366, 'text': '[id448774202|اقرأ], конкретно этого момента нету 😄', 'post_id': 11805916, 'owner_id': -59780149, 'parents_stack': [11805918], 'likes': {'can_like': 1, 'count': 0, 'user_likes': 0, 'can_publish': 1}, 'reply_to_user': 448774202, 'reply_to_comment': 11805918}, {'id': 11806031, 'from_id': 448774202, 'date': 1677680551, 'text': '[id695636723|Ярослава], 🤣🤣🤣🤣', 'post_id': 11805916, 'owner_id': -59780149, 'parents_stack': [11805918], 'likes': {'can_like': 1, 'count': 0, 'user_likes': 0, 'can_publish': 1}, 'reply_to_user': 695636723, 'reply_to_comment': 11806025}]",True,True,,,,,,есть видео как 🚴 ❓🤣,NEUTRAL,0.8249918818473816
11805929,485842338,1677679368,чисто аверьяновка велосипед,11805916.0,-59780149.0,[],1.0,1.0,0.0,1.0,1.0,"[{'id': 11806027, 'from_id': 695636723, 'date': 1677680478, 'text': '[id485842338|Ramazan], на Речное через Южное', 'post_id': 11805916, 'owner_id': -59780149, 'parents_stack': [11805929], 'likes': {'can_like': 1, 'count': 0, 'user_likes': 0, 'can_publish': 1}, 'reply_to_user': 485842338, 'reply_to_comment': 11805929}]",True,True,,,,,,чисто по аверьяновке на велосипеде,NEUTRAL,0.8132619857788086
11805945,448774202,1677679442,женский,11805916.0,-59780149.0,[],1.0,1.0,0.0,1.0,0.0,[],True,True,,,,,,а женский,NEUTRAL,0.822213351726532
11805948,59924813,1677679455,скоро умирать научаться кататься велик ...,11805916.0,-59780149.0,[],1.0,1.0,0.0,1.0,0.0,[],True,True,,,,,,скоро умирать а ещё не научилась кататься на велике,NEGATIVE,0.7515504956245422
11805962,493494091,1677679578,варя очень забавный учиться,11805916.0,-59780149.0,[],1.0,1.0,0.0,1.0,0.0,[],True,True,,,,,,варя это очень забавно когда учишься начинай,NEUTRAL,0.7425310015678406
11805967,493494091,1677679604,стопицот падать,11805916.0,-59780149.0,[],1.0,1.0,0.0,1.0,0.0,[],True,True,,,,,,стопицот раз падаешь,NEGATIVE,0.7515778541564941
11805979,781634109,1677679651,гонять велик поздно чисто работа,11805916.0,-59780149.0,[],1.0,1.0,0.0,1.0,0.0,[],True,True,,,,,,я тоже всегда хотела гонять на велике может ещё не поздно чисто на работу 🚴‍♀️,POSITIVE,0.9636122584342957
11805980,59924813,1677679654,врать ...,11805916.0,-59780149.0,[],1.0,1.0,0.0,1.0,0.0,[],True,True,,,,,,да вы врёте,NEGATIVE,0.7515231370925903
11805984,493494091,1677679681,тип тема писать,11805916.0,-59780149.0,[],1.0,1.0,0.0,1.0,0.0,[],True,True,,,,,,типа по теме пишите,NEUTRAL,0.8303850889205933
11805987,493494091,1677679702,говорить велосипед,11805916.0,-59780149.0,[],1.0,1.0,0.0,1.0,0.0,[],True,True,,,,,,так мы и говорили о велосипеде,NEUTRAL,0.8201373219490051
